id,name,badges,categoryName,countReview,discountPercentage,sold,originalPrice,price,ratingAverage,shopShopId,shopName,shopCity,shopIsOfficial,shopIsPowerBadge
11718663582,Aerostreet 37-44 Brooklyn Putih Putih Abu Muda - Sepatu Sneakers,Official Store,Fashion Pria,191,50,5000.0,359800.0,179900.0,4.8,6673471,Aerostreet,Kab. Klaten,True,True
7320840825,Sepatu Compass Velocity,Power Merchant Pro Badge,Fashion Pria,95,53,7900.0,1699000.0,798000.0,5.0,7098187,Tijoepass,Jakarta Selatan,False,True
7033293128,SEPATU SNEAKERS ORTUSEIGHT 100% ORIGINAL HARVARD (Black White),Official Store,Fashion Pria,165,15,11100.0,329000.0,279650.0,4.9,4232765,RANK Sports,Serang,True,True
6869226944,HEIDEN HERITAGE [HRTG] - Comet Blaze 365 - True White | Sepatu Pria,Power Merchant Pro Badge,Fashion Pria,141,16,10000.0,439000.0,369000.0,4.9,1544074,Heiden Heritage,Jakarta Utara,False,True
1062295385,Sepatu PDH Pendek 01 TNI | Sepatu PDH TNI AD Satpam Polri Kantor -DT01,Power Merchant Pro Badge,Fashion Pria,1081,4,2300.0,120000.0,115000.0,4.9,7304936,Industri Craft CV,Jakarta Pusat,False,True
11718310502,Aerostreet 37-44 Brooklyn Hitam Hitam Hitam - Sepatu Sneakers,Official Store,Fashion Pria,249,50,5000.0,359800.0,179900.0,4.9,6673471,Aerostreet,Kab. Klaten,True,True
3223841337,Aerostreet 40-43 Tactical Krem Tua Krem Krem - Sepatu Sneaker Boots,Official Store,Fashion Pria,1560,65,3000.0,379800.0,132930.0,4.8,6673471,Aerostreet,Kab. Klaten,True,True
1058558044,Sepatu PDL TNI Premium Sol Army Terbaru,Power Merchant Pro Badge,Fashion Pria,279,4,2400.0,125000.0,120000.0,4.8,7304936,Industri Craft CV,Jakarta Pusat,False,True
6752594827,Sepatu Sneaker Pria Fuccino - RJT Sepatu Kasual New,Power Merchant Pro Badge,Fashion Pria,529,14,8000.0,155000.0,134000.0,4.9,13998988,RJT-Store,Jakarta Timur,False,True
530554184,SEPATU KODACI/SEPATU CAPUNG/SEPATU KODACHI 8111 / SIZE.37 s/d 42 MURAH,Power Merchant Pro Badge,Fashion Pria,489,8,2100.0,119900.0,109900.0,4.9,5841318,Mitra Sepatuu,Kab. Tangerang,False,True
12417271624,Aerostreet X Gibran 3 37-44 Natural Natural Emas - Sepatu Sneaker,Official Store,Fashion Pria,154,50,5000.0,399800.0,199900.0,4.9,6673471,Aerostreet,Kab. Klaten,True,True
7082254587,Ardiles Nfinity Flash Sepatu Running - Biru Hijau,Official Store,Fashion Pria,33,30,25100.0,599800.0,419860.0,4.9,2155774,Ardiles Official Store,Kab. Serang,True,True
